S-RerF,SPORF,MASE,G-RerF,S-RerF-Permuted,Alpha
0.0,0.6,0.125,0.4,0.225,0.4
0.0,0.625,0.0,0.3,0.1,0.45
0.0,0.6,0.0,0.475,0.1,0.5
0.0,0.55,0.0,0.325,0.2,0.55
0.0,0.625,0.0,0.325,0.125,0.6000000000000001
0.0,0.625,0.0,0.325,0.025,0.65
0.0,0.55,0.0,0.275,0.05,0.7000000000000001
0.0,0.6,0.0,0.275,0.0,0.75
0.0,0.575,0.0,0.2,0.0,0.8
0.0,0.475,0.0,0.175,0.05,0.8500000000000001
0.0,0.5,0.0,0.125,0.0,0.9
0.0,0.425,0.0,0.075,0.0,0.9500000000000001
0.0,0.45,0.0,0.1,0.0,1.0
0.0,0.375,0.0,0.05,0.0,1.05
0.0,0.475,0.0,0.075,0.0,1.1
0.0,0.4,0.0,0.025,0.0,1.1500000000000001
0.0,0.35,0.0,0.025,0.0,1.2000000000000002
0.0,0.35,0.0,0.05,0.0,1.25
0.0,0.2,0.0,0.025,0.0,1.3
0.0,0.225,0.0,0.0,0.0,1.35
0.0,0.175,0.0,0.0,0.0,1.4000000000000001
0.0,0.125,0.0,0.0,0.0,1.4500000000000002
0.0,0.125,0.0,0.0,0.0,1.5
0.0,0.075,0.0,0.0,0.0,1.55
0.0,0.1,0.0,0.0,0.0,1.6
0.0,0.125,0.0,0.0,0.0,1.6500000000000001
0.0,0.15,0.0,0.0,0.0,1.7000000000000002
0.0,0.125,0.0,0.0,0.0,1.75
0.0,0.1,0.0,0.0,0.0,1.8
0.0,0.125,0.0,0.0,0.0,1.85
0.0,0.1,0.0,0.0,0.0,1.9000000000000001
0.0,0.025,0.0,0.0,0.0,1.9500000000000002
0.0,0.075,0.0,0.0,0.0,2.0
0.8,0.825,0.825,0.8,0.75,0.0
0.7,0.75,0.75,0.8,0.7,0.05
0.5,0.65,0.425,0.65,0.6,0.1
0.325,0.7,0.45,0.7,0.525,0.15000000000000002
0.2,0.75,0.175,0.675,0.55,0.2
0.15,0.7,0.325,0.375,0.425,0.25
0.125,0.725,0.375,0.425,0.4,0.30000000000000004
0.0,0.675,0.15,0.475,0.15,0.35000000000000003
0.025,0.575,0.225,0.525,0.25,0.4
0.0,0.575,0.0,0.375,0.275,0.45
0.0,0.6,0.0,0.375,0.075,0.5
0.0,0.525,0.0,0.375,0.175,0.55
0.0,0.6,0.0,0.2,0.05,0.6000000000000001
0.0,0.5,0.0,0.1,0.025,0.65
0.0,0.5,0.0,0.175,0.05,0.7000000000000001
0.0,0.525,0.0,0.175,0.0,0.75
0.0,0.425,0.0,0.175,0.025,0.8
0.0,0.55,0.0,0.1,0.0,0.8500000000000001
0.0,0.35,0.0,0.075,0.0,0.9
0.0,0.475,0.0,0.1,0.0,0.9500000000000001
0.0,0.4,0.0,0.1,0.0,1.0
0.0,0.5,0.0,0.075,0.0,1.05
0.0,0.3,0.0,0.025,0.0,1.1
0.0,0.325,0.0,0.025,0.0,1.1500000000000001
0.0,0.25,0.0,0.0,0.0,1.2000000000000002
0.0,0.4,0.0,0.025,0.0,1.25
0.0,0.2,0.0,0.025,0.0,1.3
0.0,0.375,0.0,0.025,0.0,1.35
0.0,0.175,0.0,0.025,0.0,1.4000000000000001
0.0,0.2,0.0,0.0,0.0,1.4500000000000002
0.0,0.1,0.0,0.0,0.0,1.5
0.0,0.225,0.0,0.0,0.0,1.55
0.0,0.225,0.0,0.0,0.0,1.6
0.0,0.1,0.0,0.05,0.0,1.6500000000000001
0.0,0.075,0.0,0.0,0.0,1.7000000000000002
0.0,0.075,0.0,0.0,0.0,1.75
0.0,0.075,0.0,0.0,0.0,1.8
0.0,0.1,0.0,0.0,0.0,1.85
0.0,0.1,0.0,0.0,0.0,1.9000000000000001
0.0,0.1,0.0,0.0,0.0,1.9500000000000002
0.0,0.175,0.0,0.0,0.0,2.0
0.825,0.675,0.625,0.75,0.75,0.0
